rec_id,obc_timeStamp,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,lfm_netCounts,lfm_posCounts,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gfs_gasFlow,gfs_gasTemp,gfs_netGasVolume,jm3_netjoule,jm3_voltage,jm3_current,sup_VoltageIn,all_energy,message_id,volt_voltage,volt_difference,Lap,Time
735,1688797124.35,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4861.0,4895.0,29.0,0.7966,0.1966,,,,555.835,13254.0,-21.0,16081.0,0.888441,504_202307_08_0617_35_0000686,,,2,6.312319444408889
736,1688797124.45,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4862.0,4896.0,29.0,0.7968,0.0983,,,,555.835,13253.0,-18.0,16073.0,0.888641,504_202307_08_0617_35_0000687,,,2,6.3123472222577774
737,1688797124.55,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4864.0,4898.0,29.0,0.7971,0.1966,,,,555.835,13253.0,-18.0,16077.0,0.888941,504_202307_08_0617_35_0000688,,,2,6.312374999964444
738,1688797124.64,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4865.0,4899.0,29.0,0.7973,0.0983,,,,555.835,13253.0,-20.0,16073.0,0.889141,504_202307_08_0617_35_0000689,,,2,6.3124
739,1688797124.74,06.18.43,-8.895822383,116.303179533,1.0,0.9,15.8,4866.0,4900.0,29.0,0.7974,0.0983,,,,555.835,13253.0,-20.0,16089.0,0.889241,504_202307_08_0617_35_0000690,,,2,6.312427777777778
740,1688797124.85,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4867.0,4901.0,29.0,0.7976,0.0983,,,,555.835,13252.0,-22.0,16064.0,0.889441,504_202307_08_0617_35_0000691,,,2,6.312458333297777
741,1688797124.95,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4869.0,4903.0,29.0,0.7979,0.1967,,,,555.835,13252.0,-22.0,16068.0,0.889741,504_202307_08_0617_35_0000692,,,2,6.312486111146667
742,1688797125.04,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4869.0,4903.0,29.0,0.7979,0.0,,,,555.833,13255.0,-22.0,16068.0,0.889741,504_202307_08_0617_35_0000693,,,2,6.312511111111111
743,1688797125.14,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4870.0,4904.0,29.0,0.7981,0.0983,,,,555.833,13255.0,-22.0,16077.0,0.889941,504_202307_08_0617_35_0000694,,,2,6.312538888888889
744,1688797125.25,06.18.44,-8.8958139,116.30321015,1.0,0.9,13.9,4871.0,4905.0,29.0,0.7982,0.0983,,,,555.833,13254.0,-21.0,16089.0,0.890041,504_202307_08_0617_35_0000695,,,2,6.312569444408889
